Ticker,Date,Time,Open,High,Low,Close,Volume,Open Interest
RELIANCE.NSE,07/07/2025,10:33:59,1538,1538.1,1537.5,1537.9,4435,0
RELIANCE.NSE,07/07/2025,10:34:59,1538,1538.4,1537.6,1537.6,9025,0
RELIANCE.NSE,07/07/2025,10:35:59,1537.5,1537.7,1535.5,1535.5,12348,0
RELIANCE.NSE,07/07/2025,10:36:59,1535.9,1536.3,1535.3,1536.3,13964,0
RELIANCE.NSE,07/07/2025,10:37:59,1536.4,1537,1535.9,1536,12892,0
RELIANCE.NSE,07/07/2025,10:38:59,1536.4,1536.8,1535.6,1535.7,8146,0
RELIANCE.NSE,07/07/2025,10:39:59,1535.7,1536.3,1535.5,1536.2,7511,0
RELIANCE.NSE,07/07/2025,10:40:59,1536.2,1536.3,1536.2,1536.2,2788,0
RELIANCE.NSE,07/07/2025,10:41:59,1536.2,1536.4,1536.1,1536.2,6232,0
RELIANCE.NSE,07/07/2025,10:42:59,1536.2,1536.7,1536.2,1536.7,8134,0
RELIANCE.NSE,07/07/2025,10:43:59,1536.8,1537,1536.8,1537,4256,0
RELIANCE.NSE,07/07/2025,10:44:59,1536.9,1537.4,1536.9,1537,11501,0
RELIANCE.NSE,07/07/2025,10:45:59,1537,1537,1536.8,1536.8,4078,0
RELIANCE.NSE,07/07/2025,10:46:59,1537,1537,1536.5,1536.9,5275,0
RELIANCE.NSE,07/07/2025,10:47:59,1536.9,1537.1,1536.5,1537.1,6211,0
RELIANCE.NSE,07/07/2025,10:48:59,1537.5,1537.7,1537,1537.7,7483,0
RELIANCE.NSE,07/07/2025,10:49:59,1537.7,1538,1536.9,1537.7,8358,0
RELIANCE.NSE,07/07/2025,10:50:59,1537.4,1537.9,1537.4,1537.7,6169,0
RELIANCE.NSE,07/07/2025,10:51:59,1537.8,1538.8,1537.8,1538.8,14195,0
RELIANCE.NSE,07/07/2025,10:52:59,1538.8,1538.8,1537.9,1538,12399,0
RELIANCE.NSE,07/07/2025,10:53:59,1538,1538,1537.6,1538,7911,0
RELIANCE.NSE,07/07/2025,10:54:59,1538,1538,1537.5,1537.5,3750,0
RELIANCE.NSE,07/07/2025,10:55:59,1537.7,1537.9,1537.6,1537.9,7118,0
RELIANCE.NSE,07/07/2025,10:56:59,1537.8,1538.3,1536.6,1537.9,42571,0
RELIANCE.NSE,07/07/2025,10:57:59,1538.2,1538.8,1538.2,1538.8,32215,0
RELIANCE.NSE,07/07/2025,10:58:59,1538.8,1539.2,1538.6,1538.9,60772,0
RELIANCE.NSE,07/07/2025,10:59:59,1539,1539.1,1537.5,1538.3,72168,0
RELIANCE.NSE,07/07/2025,11:00:59,1538.2,1538.3,1537.5,1537.6,6842,0
RELIANCE.NSE,07/07/2025,11:01:59,1537.6,1538.1,1537.5,1538,5439,0
RELIANCE.NSE,07/07/2025,11:02:59,1538,1538.2,1536.4,1536.9,8131,0
RELIANCE.NSE,07/07/2025,11:03:59,1536.9,1536.9,1536.5,1536.6,5792,0
RELIANCE.NSE,07/07/2025,11:04:59,1536.6,1538,1535.9,1537.7,17886,0
RELIANCE.NSE,07/07/2025,11:05:59,1537.8,1538,1537.6,1537.9,5918,0
RELIANCE.NSE,07/07/2025,11:06:59,1537.8,1538,1537.8,1538,4378,0
